range,percentage,min,max,fund_slug
"$1,000,000 - $3,000,000",50.0,1000000,3000000.0,shasta-ventures
"$3,000,000 - $10,000,000",50.0,3000000,10000000.0,shasta-ventures
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,shasta-ventures
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,shasta-ventures
"$50,000,000+",0.0,50000000,,shasta-ventures
"$0 - $1,000,000",33.33,0,1000000.0,ape-capital
"$1,000,000 - $3,000,000",66.67,1000000,3000000.0,ape-capital
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,ape-capital
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,ape-capital
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,ape-capital
"$50,000,000+",0.0,50000000,,ape-capital
"$0 - $1,000,000",0.0,0,1000000.0,canary
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,canary
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,canary
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,canary
"$20,000,000 - $50,000,000",100.0,20000000,50000000.0,canary
"$50,000,000+",0.0,50000000,,canary
"$0 - $1,000,000",0.0,0,1000000.0,altered-ventures
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,altered-ventures
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,altered-ventures
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,altered-ventures
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,altered-ventures
"$50,000,000+",0.0,50000000,,altered-ventures
"$0 - $1,000,000",0.0,0,1000000.0,austin-rief-ventures
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,austin-rief-ventures
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,austin-rief-ventures
"$10,000,000 - $20,000,000",100.0,10000000,20000000.0,austin-rief-ventures
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,austin-rief-ventures
"$50,000,000+",0.0,50000000,,austin-rief-ventures
"$0 - $1,000,000",50.0,0,1000000.0,divergent-ventures
"$1,000,000 - $3,000,000",50.0,1000000,3000000.0,divergent-ventures
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,divergent-ventures
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,divergent-ventures
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,divergent-ventures
"$50,000,000+",0.0,50000000,,divergent-ventures
"$0 - $1,000,000",0.0,0,1000000.0,mastercard
"$1,000,000 - $3,000,000",50.0,1000000,3000000.0,mastercard
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,mastercard
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,mastercard
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,mastercard
"$50,000,000+",50.0,50000000,,mastercard
"$0 - $1,000,000",0.0,0,1000000.0,alliance-bernstein
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,alliance-bernstein
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,alliance-bernstein
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,alliance-bernstein
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,alliance-bernstein
"$50,000,000+",100.0,50000000,,alliance-bernstein
"$0 - $1,000,000",100.0,0,1000000.0,metaconstant-ventures
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,metaconstant-ventures
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,metaconstant-ventures
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,metaconstant-ventures
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,metaconstant-ventures
"$50,000,000+",0.0,50000000,,metaconstant-ventures
"$0 - $1,000,000",0.0,0,1000000.0,tenaya-capital
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,tenaya-capital
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,tenaya-capital
"$10,000,000 - $20,000,000",33.33,10000000,20000000.0,tenaya-capital
"$20,000,000 - $50,000,000",33.33,20000000,50000000.0,tenaya-capital
"$50,000,000+",33.33,50000000,,tenaya-capital
"$0 - $1,000,000",0.0,0,1000000.0,quest-capital
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,quest-capital
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,quest-capital
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,quest-capital
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,quest-capital
"$50,000,000+",0.0,50000000,,quest-capital
"$0 - $1,000,000",0.0,0,1000000.0,millennium-management
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,millennium-management
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,millennium-management
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,millennium-management
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,millennium-management
"$50,000,000+",100.0,50000000,,millennium-management
"$0 - $1,000,000",25.0,0,1000000.0,amplifi
"$1,000,000 - $3,000,000",50.0,1000000,3000000.0,amplifi
"$3,000,000 - $10,000,000",25.0,3000000,10000000.0,amplifi
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,amplifi
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,amplifi
"$50,000,000+",0.0,50000000,,amplifi
"$0 - $1,000,000",0.0,0,1000000.0,capital-factory
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,capital-factory
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,capital-factory
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,capital-factory
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,capital-factory
"$50,000,000+",0.0,50000000,,capital-factory
"$0 - $1,000,000",0.0,0,1000000.0,e-ventures
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,e-ventures
"$3,000,000 - $10,000,000",33.33,3000000,10000000.0,e-ventures
"$10,000,000 - $20,000,000",33.33,10000000,20000000.0,e-ventures
"$20,000,000 - $50,000,000",33.33,20000000,50000000.0,e-ventures
"$50,000,000+",0.0,50000000,,e-ventures
"$0 - $1,000,000",0.0,0,1000000.0,bridge-bank
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,bridge-bank
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,bridge-bank
"$10,000,000 - $20,000,000",100.0,10000000,20000000.0,bridge-bank
