id,slug,name,tier,category,country,tabs,fund_slug
11001,metamatic,Metamatic,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",metamatic
917,draper-associates,Draper Associates,2.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",United States,"['analytics', 'fundingRounds', 'portfolio']",draper-associates
9622,pg,PG,4.0,"{'id': 2, 'name': 'Incubator', 'slug': 'incubation'}",,"['analytics', 'fundingRounds', 'portfolio']",pg
10878,necto-labs,Necto Labs,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",necto-labs
10985,q42,Q42,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",q42
9671,web3port,Web3Port,4.0,"{'id': 8, 'name': 'Corporation', 'slug': 'corporate'}",,"['analytics', 'fundingRounds', 'portfolio']",web3port
9488,taisu-ventures,Taisu Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'upcomingCrowdsales', 'fundingRounds', 'portfolio']",taisu-ventures
10858,mn-capital,MN Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",mn-capital
10994,giesen-family-office,Dr. Giesen Family Office,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",Germany,"['analytics', 'fundingRounds', 'portfolio']",giesen-family-office
10993,prosper-ventures,Prosper Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",prosper-ventures
2024,tykhebv,Tykhe Block Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",United States,"['analytics', 'fundingRounds', 'portfolio']",tykhebv
9621,illuminati-capital,Illuminati Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",UAE,"['analytics', 'fundingRounds', 'portfolio']",illuminati-capital
9480,web3link,Web3link,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",web3link
6809,pravega-ventures,Pravega Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",India,"['analytics', 'fundingRounds', 'portfolio']",pravega-ventures
10967,lf-labs,LF Labs,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",United States,"['analytics', 'fundingRounds', 'portfolio']",lf-labs
10958,sixth-street,Sixth Street,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['fundingRounds', 'portfolio']",sixth-street
10969,supermoon,Supermoon Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",United States,"['analytics', 'fundingRounds', 'portfolio']",supermoon
9723,aza-ventures,AZA Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'upcomingCrowdsales', 'portfolio', 'fundingRounds']",aza-ventures
9806,connectico-capital,Connectico Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'upcomingCrowdsales', 'fundingRounds', 'portfolio']",connectico-capital
9661,maxx-capital,Maxx Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",maxx-capital
9719,anti-capital,Anti Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",anti-capital
10804,arcanum-ventures,Arcanum Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",arcanum-ventures
2688,zkvalidator,ZKV,4.0,"{'id': 8, 'name': 'Corporation', 'slug': 'corporate'}",,"['analytics', 'fundingRounds', 'portfolio']",zkvalidator
10940,3rd-street-capital,3rd Street Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",UAE,"['analytics', 'fundingRounds', 'portfolio']",3rd-street-capital
10931,gal-vc,Galaxy VC,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",gal-vc
10944,memetic-digital,Memetic Digital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",memetic-digital
10948,pest,P.E.S.T,4.0,"{'id': 7, 'name': 'DAO', 'slug': 'dao'}",,"['analytics', 'fundingRounds', 'portfolio']",pest
10934,profluent-ventures,Profluent Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",profluent-ventures
10946,syndika,Syndika,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",syndika
10947,vanta,VANTA,4.0,"{'id': 7, 'name': 'DAO', 'slug': 'dao'}",,"['analytics', 'fundingRounds', 'portfolio']",vanta
2614,white-star-capital,White Star Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",United States,"['analytics', 'fundingRounds', 'portfolio']",white-star-capital
9254,the-hashgraph-association,The Hashgraph Group,4.0,"{'id': 8, 'name': 'Corporation', 'slug': 'corporate'}",Switzerland,"['analytics', 'fundingRounds', 'portfolio']",the-hashgraph-association
9438,sonic-boom-ventures,Sonic Boom Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",sonic-boom-ventures
10926,collective-ventures,Collective Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",Germany,"['analytics', 'fundingRounds', 'portfolio']",collective-ventures
10950,ficus-capital,Ficus Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",ficus-capital
10924,mit-invest,MIT Investment Management Company,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",mit-invest
1739,atkaio,Atka,4.0,"{'id': 2, 'name': 'Incubator', 'slug': 'incubation'}",France,"['analytics', 'portfolio', 'fundingRounds']",atkaio
8692,tane,Tane Labs,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",UAE,"['analytics', 'fundingRounds', 'portfolio']",tane
7459,very-early-ventures,Very Early Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",very-early-ventures
8788,lecca-ventures,Lecca Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",lecca-ventures
9409,crypto-times,Crypto Times,4.0,"{'id': 8, 'name': 'Corporation', 'slug': 'corporate'}",Japan,"['analytics', 'fundingRounds', 'portfolio']",crypto-times
4468,exor-ventures,Exor Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",Netherlands,"['analytics', 'fundingRounds', 'portfolio']",exor-ventures
