name,code,normal,lead,categories,fund_slug
Switzerland,CH,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",puzzle-ventures
United Kingdom,GB,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",puzzle-ventures
United States,US,3,0,"[{'name': 'DeFi', 'count': 2, 'percent': 66.67}, {'name': 'Blockchain Service', 'count': 1, 'percent': 33.33}]",a41-ventures
United Kingdom,GB,2,0,"[{'name': 'GameFi', 'count': 1, 'percent': 50.0}, {'name': 'DeFi', 'count': 1, 'percent': 50.0}]",a41-ventures
South Korea,KR,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",a41-ventures
Netherlands,NL,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",a41-ventures
China,CN,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",a41-ventures
Nigeria,NG,1,0,"[{'name': 'Stablecoin', 'count': 1, 'percent': 100.0}]",a41-ventures
Singapore,SG,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",a41-ventures
Nicaragua,NI,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",a41-ventures
India,IN,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",a41-ventures
China,CN,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",basisventures
Singapore,SG,1,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 100.0}]",basisventures
United States,US,1,0,"[{'name': 'Chain', 'count': 1, 'percent': 100.0}]",basisventures
Vietnam,VN,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",basisventures
Hong Kong,HK,1,0,"[{'name': 'Chain', 'count': 1, 'percent': 100.0}]",280-capital
Switzerland,CH,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",byzantine-marine
United Kingdom,GB,1,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 100.0}]",byzantine-marine
United States,US,1,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 100.0}]",byzantine-marine
United States,US,1,0,"[{'name': 'Social', 'count': 1, 'percent': 100.0}]",caliber-ventures
Indonesia,ID,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",magic-fund
Switzerland,CH,1,0,"[{'name': 'Chain', 'count': 1, 'percent': 100.0}]",magic-fund
Kenya,KE,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",future-africa
United States,US,1,0,"[{'name': 'Social', 'count': 1, 'percent': 100.0}]",future-africa
Ghana,GH,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",microtraction
United States,US,1,0,"[{'name': 'Social', 'count': 1, 'percent': 100.0}]",microtraction
Hong Kong,HK,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",nftgo
United States,US,4,0,"[{'name': 'DeFi', 'count': 2, 'percent': 50.0}, {'name': 'Blockchain Service', 'count': 1, 'percent': 25.0}, {'name': 'Social', 'count': 1, 'percent': 25.0}]",woo-network
United Kingdom,GB,2,0,"[{'name': 'DeFi', 'count': 2, 'percent': 100.0}]",woo-network
Bahamas,BS,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",woo-network
