range,percentage,min,max,fund_slug
"$0 - $1,000,000",0.0,0,1000000.0,paul-veradittakit
"$1,000,000 - $3,000,000",30.77,1000000,3000000.0,paul-veradittakit
"$3,000,000 - $10,000,000",38.46,3000000,10000000.0,paul-veradittakit
"$10,000,000 - $20,000,000",30.77,10000000,20000000.0,paul-veradittakit
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,paul-veradittakit
"$50,000,000+",0.0,50000000,,paul-veradittakit
"$0 - $1,000,000",11.11,0,1000000.0,vitalik-buterin
"$1,000,000 - $3,000,000",11.11,1000000,3000000.0,vitalik-buterin
"$3,000,000 - $10,000,000",33.33,3000000,10000000.0,vitalik-buterin
"$10,000,000 - $20,000,000",33.33,10000000,20000000.0,vitalik-buterin
"$20,000,000 - $50,000,000",11.11,20000000,50000000.0,vitalik-buterin
"$50,000,000+",0.0,50000000,,vitalik-buterin
"$0 - $1,000,000",0.0,0,1000000.0,blockchain-capital
"$1,000,000 - $3,000,000",5.0,1000000,3000000.0,blockchain-capital
"$3,000,000 - $10,000,000",35.0,3000000,10000000.0,blockchain-capital
"$10,000,000 - $20,000,000",25.0,10000000,20000000.0,blockchain-capital
"$20,000,000 - $50,000,000",30.0,20000000,50000000.0,blockchain-capital
"$50,000,000+",5.0,50000000,,blockchain-capital
"$0 - $1,000,000",5.0,0,1000000.0,alex-svanevik
"$1,000,000 - $3,000,000",30.0,1000000,3000000.0,alex-svanevik
"$3,000,000 - $10,000,000",40.0,3000000,10000000.0,alex-svanevik
"$10,000,000 - $20,000,000",10.0,10000000,20000000.0,alex-svanevik
"$20,000,000 - $50,000,000",10.0,20000000,50000000.0,alex-svanevik
"$50,000,000+",5.0,50000000,,alex-svanevik
"$0 - $1,000,000",10.0,0,1000000.0,y-combinator
"$1,000,000 - $3,000,000",20.0,1000000,3000000.0,y-combinator
"$3,000,000 - $10,000,000",55.0,3000000,10000000.0,y-combinator
"$10,000,000 - $20,000,000",15.0,10000000,20000000.0,y-combinator
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,y-combinator
"$50,000,000+",0.0,50000000,,y-combinator
"$0 - $1,000,000",7.14,0,1000000.0,arthur-hayes
"$1,000,000 - $3,000,000",42.86,1000000,3000000.0,arthur-hayes
"$3,000,000 - $10,000,000",42.86,3000000,10000000.0,arthur-hayes
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,arthur-hayes
"$20,000,000 - $50,000,000",7.14,20000000,50000000.0,arthur-hayes
"$50,000,000+",0.0,50000000,,arthur-hayes
"$0 - $1,000,000",0.0,0,1000000.0,animoca-brands
"$1,000,000 - $3,000,000",35.0,1000000,3000000.0,animoca-brands
"$3,000,000 - $10,000,000",45.0,3000000,10000000.0,animoca-brands
"$10,000,000 - $20,000,000",20.0,10000000,20000000.0,animoca-brands
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,animoca-brands
"$50,000,000+",0.0,50000000,,animoca-brands
"$0 - $1,000,000",5.0,0,1000000.0,quantstamp
"$1,000,000 - $3,000,000",35.0,1000000,3000000.0,quantstamp
"$3,000,000 - $10,000,000",35.0,3000000,10000000.0,quantstamp
"$10,000,000 - $20,000,000",20.0,10000000,20000000.0,quantstamp
"$20,000,000 - $50,000,000",5.0,20000000,50000000.0,quantstamp
"$50,000,000+",0.0,50000000,,quantstamp
"$0 - $1,000,000",0.0,0,1000000.0,jump-crypto
"$1,000,000 - $3,000,000",30.0,1000000,3000000.0,jump-crypto
"$3,000,000 - $10,000,000",30.0,3000000,10000000.0,jump-crypto
"$10,000,000 - $20,000,000",25.0,10000000,20000000.0,jump-crypto
"$20,000,000 - $50,000,000",10.0,20000000,50000000.0,jump-crypto
"$50,000,000+",5.0,50000000,,jump-crypto
"$0 - $1,000,000",0.0,0,1000000.0,amber-group
"$1,000,000 - $3,000,000",25.0,1000000,3000000.0,amber-group
"$3,000,000 - $10,000,000",50.0,3000000,10000000.0,amber-group
"$10,000,000 - $20,000,000",20.0,10000000,20000000.0,amber-group
"$20,000,000 - $50,000,000",5.0,20000000,50000000.0,amber-group
"$50,000,000+",0.0,50000000,,amber-group
"$0 - $1,000,000",0.0,0,1000000.0,greenfield-one
"$1,000,000 - $3,000,000",25.0,1000000,3000000.0,greenfield-one
"$3,000,000 - $10,000,000",55.0,3000000,10000000.0,greenfield-one
"$10,000,000 - $20,000,000",20.0,10000000,20000000.0,greenfield-one
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,greenfield-one
"$50,000,000+",0.0,50000000,,greenfield-one
"$0 - $1,000,000",0.0,0,1000000.0,tether
"$1,000,000 - $3,000,000",27.27,1000000,3000000.0,tether
"$3,000,000 - $10,000,000",18.18,3000000,10000000.0,tether
"$10,000,000 - $20,000,000",18.18,10000000,20000000.0,tether
"$20,000,000 - $50,000,000",9.09,20000000,50000000.0,tether
"$50,000,000+",27.27,50000000,,tether
"$0 - $1,000,000",0.0,0,1000000.0,polygon-ventures
"$1,000,000 - $3,000,000",40.0,1000000,3000000.0,polygon-ventures
"$3,000,000 - $10,000,000",50.0,3000000,10000000.0,polygon-ventures
"$10,000,000 - $20,000,000",10.0,10000000,20000000.0,polygon-ventures
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,polygon-ventures
"$50,000,000+",0.0,50000000,,polygon-ventures
"$0 - $1,000,000",5.0,0,1000000.0,mh-ventures
"$1,000,000 - $3,000,000",10.0,1000000,3000000.0,mh-ventures
"$3,000,000 - $10,000,000",65.0,3000000,10000000.0,mh-ventures
"$10,000,000 - $20,000,000",10.0,10000000,20000000.0,mh-ventures
"$20,000,000 - $50,000,000",10.0,20000000,50000000.0,mh-ventures
"$50,000,000+",0.0,50000000,,mh-ventures
"$0 - $1,000,000",0.0,0,1000000.0,fenbushi-capital
"$1,000,000 - $3,000,000",20.0,1000000,3000000.0,fenbushi-capital
"$3,000,000 - $10,000,000",35.0,3000000,10000000.0,fenbushi-capital
"$10,000,000 - $20,000,000",25.0,10000000,20000000.0,fenbushi-capital
"$20,000,000 - $50,000,000",20.0,20000000,50000000.0,fenbushi-capital
"$50,000,000+",0.0,50000000,,fenbushi-capital
"$0 - $1,000,000",0.0,0,1000000.0,robot-ventures
"$1,000,000 - $3,000,000",35.0,1000000,3000000.0,robot-ventures
"$3,000,000 - $10,000,000",45.0,3000000,10000000.0,robot-ventures
"$10,000,000 - $20,000,000",15.0,10000000,20000000.0,robot-ventures
"$20,000,000 - $50,000,000",5.0,20000000,50000000.0,robot-ventures
"$50,000,000+",0.0,50000000,,robot-ventures
"$0 - $1,000,000",0.0,0,1000000.0,infinity-ventures-crypto
"$1,000,000 - $3,000,000",20.0,1000000,3000000.0,infinity-ventures-crypto
"$3,000,000 - $10,000,000",70.0,3000000,10000000.0,infinity-ventures-crypto
"$10,000,000 - $20,000,000",10.0,10000000,20000000.0,infinity-ventures-crypto
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,infinity-ventures-crypto
"$50,000,000+",0.0,50000000,,infinity-ventures-crypto
"$0 - $1,000,000",0.0,0,1000000.0,6th-man-ventures
"$1,000,000 - $3,000,000",20.0,1000000,3000000.0,6th-man-ventures
"$3,000,000 - $10,000,000",50.0,3000000,10000000.0,6th-man-ventures
"$10,000,000 - $20,000,000",15.0,10000000,20000000.0,6th-man-ventures
"$20,000,000 - $50,000,000",15.0,20000000,50000000.0,6th-man-ventures
"$50,000,000+",0.0,50000000,,6th-man-ventures
"$0 - $1,000,000",0.0,0,1000000.0,immutable
"$1,000,000 - $3,000,000",25.0,1000000,3000000.0,immutable
"$3,000,000 - $10,000,000",37.5,3000000,10000000.0,immutable
"$10,000,000 - $20,000,000",25.0,10000000,20000000.0,immutable
"$20,000,000 - $50,000,000",12.5,20000000,50000000.0,immutable
"$50,000,000+",0.0,50000000,,immutable
"$0 - $1,000,000",0.0,0,1000000.0,hypersphereventures
"$1,000,000 - $3,000,000",15.0,1000000,3000000.0,hypersphereventures
"$3,000,000 - $10,000,000",65.0,3000000,10000000.0,hypersphereventures
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,hypersphereventures
"$20,000,000 - $50,000,000",5.0,20000000,50000000.0,hypersphereventures
"$50,000,000+",15.0,50000000,,hypersphereventures
"$0 - $1,000,000",0.0,0,1000000.0,lightspeed-venture-partners
"$1,000,000 - $3,000,000",5.0,1000000,3000000.0,lightspeed-venture-partners
