name,icon,date,raise,fund_name,fund_image,stage
BuidlerDAO,https://img.cryptorank.io/coins/60x60.buidler_dao1693213677364.png,2023-08-28T00:00:00.000Z,2000000,HongShan (ex-Sequoia China),https://img.cryptorank.io/funds/60x60.hong_shan_ex_sequoia_china1701243959806.png,ANGEL
Sender AI,https://img.cryptorank.io/coins/60x60.sender1731664467046.png,2022-09-12T00:00:00.000Z,4500000,Pantera Capital,https://img.cryptorank.io/funds/60x60.pantera capital1648480190185.png,Undisclosed
Forward,https://img.cryptorank.io/coins/60x60.forward1663155206136.png,2022-09-11T00:00:00.000Z,5000000,PrimeStreet Capital,https://img.cryptorank.io/funds/60x60.prime_street_capital1663156721875.png,SEED
Goldsky,https://img.cryptorank.io/coins/60x60.goldsky1663159608827.png,2022-09-12T00:00:00.000Z,20000000,DragonFly Capital,https://img.cryptorank.io/funds/60x60.dragon_fly_capital1660640000289.png,SEED
MetaWeb Ventures,https://img.cryptorank.io/coins/60x60.meta_web_ventures1663162405259.png,2022-09-09T00:00:00.000Z,30000000,Near Foundation,https://img.cryptorank.io/funds/60x60.near_foundation1663163185525.png,Undisclosed
Doodles,https://img.cryptorank.io/coins/60x60.doodles1721898824557.png,2022-09-13T00:00:00.000Z,54000000,Seven Seven Six,https://img.cryptorank.io/funds/60x60.seven_seven_six1661966582767.png,Undisclosed
Mean DAO,https://img.cryptorank.io/coins/60x60.meanfi1639394013483.png,2021-11-29T00:00:00.000Z,3500000,DeFiance Capital,https://img.cryptorank.io/funds/60x60.defiance capital1648485672960.png,SEED
Ownera,https://img.cryptorank.io/coins/60x60.ownera1663168515563.png,2022-09-14T00:00:00.000Z,20000000,J.P. Morgan,https://img.cryptorank.io/funds/60x60.jp_morgan1663168852240.png,SERIES A
Arpeggi Labs,https://img.cryptorank.io/coins/60x60.arpeggi_labs1663222784151.png,2022-09-14T00:00:00.000Z,5100000,Andreessen Horowitz (a16z),https://img.cryptorank.io/funds/60x60.andreessen horowitz (a16z)1648484432797.png,SEED
Thirdwave Labs,https://img.cryptorank.io/coins/60x60.thirdwave_labs1663226764726.png,2022-09-14T00:00:00.000Z,7000000,Framework Ventures,https://img.cryptorank.io/funds/60x60.framework ventures1648565125587.png,SEED
