coinKey,coinName,follower_id,follower_name,follower_username,follower_image,follower_twitterScore,follower_followersCount,relatedEntity_fund,relatedEntity_coin
space-id,SPACE ID,895,OKX,okx,https://pbs.twimg.com/profile_images/1826636254164774912/6-Hm_NAR_normal.jpg,12035.0,5745610,,okb
space-id,SPACE ID,1373,Awawat,Awawat_Trades,https://pbs.twimg.com/profile_images/1705441078193926144/gLmTqHQN_normal.jpg,12114.0,144506,awawat,
space-id,SPACE ID,1425,CoinMarketCap,CoinMarketCap,https://pbs.twimg.com/profile_images/1875098684469207040/IsOWDeZA_normal.jpg,13025.0,6780270,,
space-id,SPACE ID,66043,Ignas | DeFi,DefiIgnas,https://pbs.twimg.com/profile_images/1572199012790603778/GF4NXSKr_normal.jpg,11982.0,141332,,
mailchain,Mailchain,506,toly 🇺🇸,aeyakovenko,https://pbs.twimg.com/profile_images/1906899997880430592/E3nf0cY-_normal.jpg,22622.0,575790,anatoly-yakovenko,
mailchain,Mailchain,510,Matthew Graham,mattyryze,https://pbs.twimg.com/profile_images/1919737359005863936/aiiZ1nKP_normal.jpg,12593.0,82008,,
mailchain,Mailchain,908,Julien B.,bneiluj,https://pbs.twimg.com/profile_images/1801179818513346560/RJI_YVb8_normal.jpg,10561.0,90962,,
mailchain,Mailchain,10782,Anil Lulla,anildelphi,https://pbs.twimg.com/profile_images/1782562115951501312/idMJoLYF_normal.jpg,11866.0,33722,anil-lulla,
mailchain,Mailchain,81744,Zagabond,Zagabond,https://pbs.twimg.com/profile_images/1907315966440288256/9xIIuqtG_normal.jpg,9489.0,147410,,
functionland,Functionland,547,cryptomaestro.hl,CryptoMaestro,https://pbs.twimg.com/profile_images/1755505059184689152/6f9NZMXm_normal.jpg,7968.0,48462,cryptomaestro,
functionland,Functionland,766,Outlier Ventures,OVioHQ,https://pbs.twimg.com/profile_images/1812847145126367232/8y8Qj9nz_normal.jpg,4669.0,42243,,
functionland,Functionland,1016,Small Cap Scientist 👨‍🔬🧪🥼,SmallCapScience,https://pbs.twimg.com/profile_images/1556492962951045120/I1b7rAnk_normal.jpg,10805.0,108170,small-cap-scientist,
functionland,Functionland,8478,MoonPay 🟣,moonpay,https://pbs.twimg.com/profile_images/1921875196274700288/RWY0zJTZ_normal.jpg,8196.0,191022,moonpay,
functionland,Functionland,67695,Grinding Poet,GrindingPoet,https://pbs.twimg.com/profile_images/1799145437229613056/YB5Z4Z-P_normal.png,4663.0,42578,,
sender,Sender AI,513,KuCoin,kucoincom,https://pbs.twimg.com/profile_images/1873983306859241479/-jmj71fb_normal.jpg,9238.0,3568970,,kucoin-shares
sender,Sender AI,1031,NEAR Protocol,NEARProtocol,https://pbs.twimg.com/profile_images/1885336513837232128/vKF_ZRKs_normal.jpg,10063.0,1866899,,usn
sender,Sender AI,1901,TON 💎,ton_blockchain,https://pbs.twimg.com/profile_images/1833486393823096832/N39rUf-e_normal.png,7126.0,2494764,,ton-domains
sender,Sender AI,32914,Res,resdegen,https://pbs.twimg.com/profile_images/1861753308655812608/bl77xqhM_normal.jpg,6038.0,53962,,
