fund_slug,country,count
maven11,Germany,1
maven11,India,1
maven11,Israel,1
wintermute,United States,10
wintermute,Singapore,3
wintermute,France,2
wintermute,Germany,1
wintermute,Italy,1
wintermute,Switzerland,1
mask-network,United States,7
mask-network,Singapore,6
mask-network,Japan,2
mask-network,China,1
mask-network,Hong Kong,1
mask-network,Italy,1
kucoinventures,United States,8
kucoinventures,Singapore,5
kucoinventures,Seychelles,2
kucoinventures,Australia,1
kucoinventures,China,1
kucoinventures,France,1
iosg,United States,7
iosg,France,2
iosg,Norway,2
iosg,Brazil,1
iosg,Estonia,1
iosg,Germany,1
hack-vc,United States,13
hack-vc,Singapore,2
hack-vc,British Virgin Islands,1
hack-vc,France,1
hack-vc,Germany,1
hack-vc,Norway,1
blockchain-com,United States,9
blockchain-com,Hong Kong,2
blockchain-com,Indonesia,2
blockchain-com,United Kingdom,2
blockchain-com,Austria,1
blockchain-com,Cayman Islands,1
ethereum-foundation,United Kingdom,2
ethereum-foundation,Argentina,1
ethereum-foundation,Bulgaria,1
ethereum-foundation,Canada,1
ethereum-foundation,Singapore,1
ethereum-foundation,Taiwan,1
bnb-chain,Hong Kong,1
bnb-chain,United States,1
web3-foundation,United States,2
mexc,United States,6
mexc,Singapore,3
mexc,United Kingdom,2
mexc,Vietnam,2
mexc,Australia,1
mexc,Barbados,1
nascent,United States,16
nascent,Canada,3
nascent,France,1
mexc-ventures,Italy,1
mexc-ventures,United States,1
paraficapital,United States,15
paraficapital,Belgium,1
paraficapital,Canada,1
paraficapital,Germany,1
paraficapital,Israel,1
paraficapital,UAE,1
highland-capital-partners,United States,7
highland-capital-partners,United Kingdom,1
shima-capital,United States,11
